logical_no,source_rows,section,section_code,feature_code,tariff_code,service_code,fee_code,name_fa,calc_source_type,calc_strategy,basis_type,fixed_amount,source_percent,rate_value,min_fee,max_fee,rate_period_code,currency_code,source_notes,source_service_text,source_max_text,import_status,review_reason,config_hash,tier_first_upper
177,188,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,21,,CBI1404_ELEC_21_01,فعال سازی همراه بانک و اینترنت بانک,مبلغ ثابت,FIXED,Flat,12500,,,,,,IRR,,,,SAFE,,bbae6bbf305c204ba9d0fa267019c1049b514a24ba14e591fc6022a7c3d61438,
178,189,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,22,,CBI1404_ELEC_22_01,انسداد یا رفع انسداد کارت به درخواست مشتری - غیر حضوری,مبلغ ثابت,FIXED,Flat,41250,,,,,,IRR,,,,SAFE,,6f9798c9ec56e3025fc18ff5a3a69d92e1876796174c3ad505580222bd392140,
179,190,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,23,,CBI1404_ELEC_23_01,صدور المثنی انواع کارت، پیش از تاریخ انقضای کارت (مربوط به انواع کارت ردیف های 1 و2),مبلغ ثابت,FIXED,Flat,187500,,,,,,IRR,,,,SAFE,,5c99b416c558ca9cdc38471212cdc97bedda418eaa12286a7648dafc1aae4975,
180,191,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,24,,CBI1404_ELEC_24_01,احراز هویت غیر حضوری(الکترونیک),مبلغ ثابت,FIXED,Flat,125000,,,,,,IRR,,,,SAFE,,3180945eb037d700b45684174065788f2ce732c00e69d818ff11da2ecf299db9,
181,192,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,25,,CBI1404_ELEC_25_01,دریافت وجه نقد پایانه شعب pinpad (شتابی),مبلغ ثابت,FIXED,Flat,17500,,,,,,IRR,,,,SAFE,,4793cda07e1be19ba60c5addef601dcd5ba78dbc99cfc2c96926894a7e54b586,
182,193,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,26,,CBI1404_ELEC_26_01,خرید کارتی,مبلغ ثابت,FIXED,Flat,1200,,,,,,IRR,,,,SAFE,,fd2a4211cf966da2952e4d95b28b85ddfd8d77bea36303d2cc2b34d848c3a787,
183,194,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,27,,CBI1404_ELEC_27_01,برگشت وجه خرید کارتی (Refund),مبلغ ثابت,FIXED,Flat,1200,,,,,,IRR,,,,SAFE,,d12a4ea15b392a3e781f32cc928b54649a354d4d4eaa5cd802c437be67a36ac5,
184,195,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,28,,CBI1404_ELEC_28_01,ریال دیجیتال- کیف به کیف (انتقال از کیف عادی به کیف عادی),درصد,PERCENTAGE_WITH_FLOOR,RateWithMinimumAmount,,0.0001,0.000001,2000,,,IRR,,,,SAFE,,0dff0343ca98a9f76bb43a2acc77b314295ab53905ef9d2a87f0ffce65afc33d,
185,196,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,29,,CBI1404_ELEC_29_01,ریال دیجیتال - خرید (انتقال به کیف تجاری)/برگشت از خرید (ریفاند),درصد,PERCENTAGE_WITH_FLOOR,RateWithMinimumAmount,,0.0001,0.000001,1000,,,IRR,,,,SAFE,,e135d1ca5b1460ade557e4c1fa13feb9aa6631da77245e146cc8e0130c86e1f5,
186,197,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,30,,CBI1404_ELEC_30_01,درخواست استعلام شبا,مبلغ ثابت,FIXED,Flat,1440,,,,,,IRR,,,,SAFE,,ddc12f4b776377c229448026ff8e804f735263c908aa686e3fe19fb80456e8fd,
187,198,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,31,CBI 799 RLN,CBI1404_ELC_31_01,دریافت شماره منحصربه فرد,مبلغ ثابت,FIXED,Flat,360000,,,,,,IRR,,,,SAFE,,6b6fdd6bcf4ece59d2d4504870d11a11b58a00bf169e7c73cc2c45d2d38cb0e4,
188,199,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,32,CBI 700 NRM,CBI1404_ELC_32_01,گشایش,مبلغ ثابت,FIXED,Flat,360000,,,,,,IRR,,,,SAFE,,f2897750cd778cef31512646328b4ccb5a7a949a26c8ee4237a7a0884f5134f6,
189,200,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,33,CBI 707 NRM,CBI1404_ELC_33_01,اصالحیه(ویرایش | تمدید) | خاتمه اعتبار(تبصره 2 ماده 45),مبلغ ثابت,FIXED,Flat,300000,,,,,,IRR,,,,SAFE,,e4e3f41ffea0fd7460fd92bbbf36992b7ce96f7813f3342be268c75ae4b1bfff,
190,201,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,34,CBI 720 NRM,CBI1404_ELC_34_01,انتقال اعتبار اسنادی(تغییر ذی نفع),مبلغ ثابت,FIXED,Flat,150000,,,,,,IRR,,,,SAFE,,19ffa3957115f94aa6ccfb2ac57abb7b2612ad08c7833035ce5df33f43abb42d,
191,202,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,35,CBI 730 NRM,CBI1404_ELC_35_01,اعالم وصول دریافت پیام,مبلغ ثابت,FIXED,Flat,150000,,,,,,IRR,,,,SAFE,,4727d46fe3b8c90ed4deea71a3258447bed930ea005bf835ce4e33e70c94af60,
192,203,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,36,CBI 732 NRM,CBI1404_ELC_36_01,اعالم پذیرش اسناد مغایر,مبلغ ثابت,FIXED,Flat,150000,,,,,,IRR,,,,SAFE,,c3182ecb1ed1d4a87db74f8dc72f28e1e43e4a5ad1db63f06cedfac96fb453ae,
193,204,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,37,CBI 734 NRM,CBI1404_ELC_37_01,اعالم عدم پذیرش اسناد ارائه شده,مبلغ ثابت,FIXED,Flat,150000,,,,,,IRR,,,,SAFE,,92abb8c8f5c8e41893413748c05fa8ae649cb0957081e1da6a7fbe1fa9cfb175,
194,205,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,38,CBI 750 NRM,CBI1404_ELC_38_01,اعالم مغایرت(درخواست پذیرش اسناد مغایر),مبلغ ثابت,FIXED,Flat,150000,,,,,,IRR,,,,SAFE,,430b64a502ee6647f127da801d29afa34702f3896eeb03cd96d9cf92cd19fba1,
195,206,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,39,CBI 752 NRM,CBI1404_ELC_39_01,مجوز پذیرش پرداخت,مبلغ ثابت,FIXED,Flat,150000,,,,,,IRR,,,,SAFE,,b2ea19608e022a1c9a5bbbc0d0fe0a930c46aefd14c08674105d5c79296d1897,
196,207,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,40,CBI 754 NRM,CBI1404_ELC_40_01,اعلام پذیرش پرداخت,مبلغ ثابت,FIXED,Flat,360000,,,,,,IRR,,,,SAFE,,7d38a952fbee6e79b4d6543d543c3801a34f419a997aa00b506edc0c005549a3,
197,208,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,41,CBI 756 NRM,CBI1404_ELC_41_01,اعلام پرداخت,مبلغ ثابت,FIXED,Flat,76000,,,,,,IRR,,,,SAFE,,6138da03414c3f1a03d59dc82676fd3b009ae0bc9caa9c22bf0c54f02ec48748,
198,209,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,42,CBI DOC NRM,CBI1404_ELC_42_01,ارسال اسناد(تصویر),مبلغ ثابت,FIXED,Flat,150000,,,,,,IRR,,,,SAFE,,f237c982f0bf91403f2592dfab8632b31b78c8590117ca64dc93df2b5bec8d5d,
199,210,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,43,,CBI1404_ELC_43_01,دریافت شماره منحصربه فرد,مبلغ ثابت,FIXED,Flat,150000,,,,,,IRR,,,,SAFE,,e4505368d64db584b5a476172ef96d7005566743e208f17dd944f15723676c4a,
200,211,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,44,,CBI1404_ELC_44_01,صدور سند تعهد پرداخت,مبلغ ثابت,FIXED,Flat,360000,,,,,,IRR,,,,SAFE,,b076f2395f6679eb729c0c32ee7a768dd90fe94f43832d7690e54871d01bb7d9,
201,212,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,45,,CBI1404_ELC_45_01,واگذاری یا انتقال سند تعهد پرداخت,مبلغ ثابت,FIXED,Flat,150000,,,,,,IRR,,,,SAFE,,1b3bc094a62784d1300889c68499ffcb1a5c3109693ed2e8d35164c2701b7cc6,
202,213,خدمات الکترونیکی اعتبار اسنادی داخلی - ریالی,ELC,CBI_ELECTRONIC_LC_RIAL_FEE_GROUP,46,CBI 090 SYS,CBI1404_ELC_46_01,استعلام پیام های صادر شده- پیام سیستمی گروه صفر,مبلغ ثابت,FIXED,Flat,76000,,,,,,IRR,,,,SAFE,,2c929c71436f81f55740ff59274b00e65d146ec162f45811c2a5092c5aba6452,
