action,fee_code,tariff_code,name_fa,feature_code,effective_to
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_6_5_11_01,6-5-11,انسداد یا رفع انسداد حساب یا موجودی که از سوی مراجع ذی صالح به هر طریق به بانک اعلام می گردد,CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_6_5_12_01,6-5-12,صدور رمز جدید برای انواع کارت های بانکی موجود(نقدی، اعتباری و هدیه) در شعبه به درخواست مشتری,CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_6_5_13_01,6-5-13,بررسی تراکنش های کارت های سرقتی به درخواست مشتری بابت هر شماره پیگیری,CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_6_5_13_02,6-5-13,اعمال محدودیت کارت بنا به درخواست مشتری (تعیین سقف برداشت / واریز به حساب با مسئولیت مشتری),CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_6_5_15_01,6-5-15,بستن حساب در شعبه ای غیر از شعبه افتتاح کننده حساب,CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_APP_7_1_01,7-1,ارزیابی ماشین آلات و کالا,CBI_APPRAISAL_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI_PROPERTY_APPRAISAL_FEE,7-2,ارزیابی املاک و ساختمان,CBI_APPRAISAL_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_APP_7_3_01,7-3,ارزیابی املاک مزروعی و باغات,CBI_APPRAISAL_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_APP_7_3_02,7-3,ارزیابی تسهیلات مشارکت مدنی و پیشرفت فیزیکی پروژه ها (برآورد هزینه و آورده غیرنقدی شریک),CBI_APPRAISAL_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_APP_7_3_03,7-3,ارزیابی و بازدید تسهیلات تعمیر مسکن/ بازدید نوبت های اضافی تسهیلات تعمیر مسکن در قالب کلیه عقود,CBI_APPRAISAL_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_APP_7_3_04,7-3,ارزیابی مجدد به درخواست مشتری (به غیر از تسهیلات جعاله تعمیر مسکن),CBI_APPRAISAL_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_APP_7_3_05,7-3,ارزیابی وثایق غیرمنقول مازاد,CBI_APPRAISAL_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_1_01,8-1,اخذ استعلام اعتبارسنجی از شرکت رتبه بندی اعتباری ایران,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_2_01,8-2,واگذاری سهم الشرکه بانک به غیر,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_3_01,8-3,تمدید تسهیلات عقود مشارکتی,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_4_01,8-4,بررسی اصالت پیش فاکتور,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_5_01,8-5,صلح حقوق یا انتقال تعهد,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_6_01,8-6,تغییر در شرایط,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_7_01,8-7,تفکیک، تغییر و تعویض رهینه یا وثیقه,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_8_01,8-8,اقاله ملک,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_8_02,8-8,**امور مربوط به نظارت بر مصرف تسهیالت مشارکت مدنی (جهت انواع تسهیلاتی که به صورت تدریجی، مرحله ای و متناسب با پیشرفت کار پرداخت می گردد),CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_10_01,8-10,امور مربوط به بررسی رهن مازاد سایر سازمان ها و بانک ها,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_11_01,8-11,تکمیل فرم یارانه تسهیلات تکلیفی,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_12_01,8-12,صدور اخطار کتبی جهت اقساط یا مطالبات غیرجاری,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_13_01,8-13,انتقال ملک مرهونه به شخص ثالث,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_14_01,8-14,تغییر ضامنین تسهیلات,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI_UNUSED_LIMIT_COMMITMENT_FEE,8-15,عدم استفاده از حد اعتباری تسهیالت مصوب بعد از 45 روز از تاریخ ابلاغ (Commitment fee),CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI_CREDIT_EXPERTISE_FEE,8-16,هزینه کارشناسی(ارزیابی) طرح ها,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_17_01,8-17,هزینه کارشناسی تسهیلات سرمایه در گردش,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_18_01,8-18,هزینه کارشناسی کالاهای سرمایه ای واحدهای تولیدی، خدماتی و بازرگانی خارج از طرح ***,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_18_02,8-18,"تهیه گزارش اطلاعات اعتباری مشتمل بر استعلام از شاهکار , آدرس , استفاده از سامانه های داخلی , لیست سیاه و ... می باشد. (تسهیلات/تعهدات) اشخاص حقیقی",CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_18_03,8-18,"تهیه گزارش اطلاعات اعتباری مشتمل بر استعلام از شاهکار , آدرس , استفاده از سامانه های داخلی , لیست سیاه و ... می باشد. (تسهیلات/تعهدات) اشخاص حقوقی",CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_20_01,8-20,تشکیل پرونده اعتباری اعم از تعهدات یا تسهیلات (به استثنای قرض الحسنه),CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_21_01,8-21,پذیرش اوراق گواهی حق تقدم، هنگام پرداخت تسهیلات,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_22_01,8-22,ارائه صورت اطلاعات تسهیلات و تعهدات به درخواست مشتری,CBI_CREDIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CRD_8_22_02,8-22,تغییر شرایط مصوبات ابلاغی صادره از سوی ارکان اعتباری بالاتر از رکن اعتباری شعبه به درخواست مشتری و منوط به صدور مصوبه جدید اشخاص حقیقی,CBI_CREDIT_FEE_GROUP,2026-09-09
